platform,name,date,phase,duration_mins
Codeforces,Codeforces Round (Div. 2),2026-05-30 20:05:00,BEFORE,120
Codeforces,"Spectral::Cup 2026 Round 2 (Codeforces Round 1100, Div. 1 + Div. 2)",2026-05-23 20:05:00,BEFORE,180
Codeforces,Codeforces Round 1099 (Div. 2),2026-05-21 20:05:00,CODING,120
Codeforces,Educational Codeforces Round 190 (Rated for Div. 2),2026-05-18 20:05:00,FINISHED,120
Codeforces,Codeforces Round 1098 (Div. 2),2026-05-16 20:05:00,FINISHED,135
Codeforces,"Codeforces Round 1097 (Div. 1,  Based on Zhili Cup 2026)",2026-05-06 11:35:00,FINISHED,150
Codeforces,"Codeforces Round 1097 (Div. 2,  Based on Zhili Cup 2026)",2026-05-06 11:35:00,FINISHED,150
Codeforces,Codeforces Round 1096 (Div. 3),2026-04-30 20:05:00,FINISHED,150
Codeforces,Codeforces Round 1095 (Div. 2),2026-04-28 20:05:00,FINISHED,135
Codeforces,"Spectral::Cup 2026 Round 1 (Codeforces Round 1094, Div. 1 + Div. 2)",2026-04-25 20:05:00,FINISHED,150
Codeforces,Educational Codeforces Round 189 (Rated for Div. 2),2026-04-21 20:05:00,FINISHED,120
Codeforces,Codeforces Round 1093 (Div. 1),2026-04-13 20:05:00,FINISHED,120
Codeforces,Codeforces Round 1093 (Div. 2),2026-04-13 20:05:00,FINISHED,120
Codeforces,"Codeforces Round 1092 (Unrated, Div. 1, Based on THUPC 2026 — Finals)",2026-04-12 11:05:00,FINISHED,180
Codeforces,"Codeforces Round 1092 (Unrated, Div. 2, Based on THUPC 2026 — Finals)",2026-04-12 11:05:00,FINISHED,180
Codeforces,Codeforces Round 1091 (Div. 2) and CodeCraft 26,2026-04-07 20:05:00,FINISHED,135
Codeforces,Codeforces Round 1090 (Div. 4),2026-04-04 20:05:00,FINISHED,135
Codeforces,April Fools Day Contest 2026,2026-04-01 20:05:00,FINISHED,120
Codeforces,Codeforces Round 1089 (Div. 2),2026-03-29 20:05:00,FINISHED,135
Codeforces,"Nebius Round 2 (Codeforces Round 1088, Div. 1 + Div. 2)",2026-03-28 20:15:00,FINISHED,150
Codeforces,Codeforces Round 1087 (Div. 2),2026-03-21 20:05:00,FINISHED,120
Codeforces,Educational Codeforces Round 188 (Rated for Div. 2),2026-03-16 20:05:00,FINISHED,135
Codeforces,Codeforces Round 1086 (Div. 2),2026-03-14 20:05:00,FINISHED,120
Codeforces,Codeforces Round 1085 (Div. 1 + Div. 2),2026-03-08 20:05:00,FINISHED,180
Codeforces,"2026 ICPC Asia Pacific Championship - Online Mirror (Unrated, Online Mirror, ICPC Rules, Teams Preferred)",2026-03-08 07:15:00,FINISHED,300
Codeforces,Kotlin Heroes: Episode 14,2026-03-02 20:05:00,FINISHED,150
Codeforces,Codeforces Round 1084 (Div. 3),2026-02-27 20:05:00,FINISHED,135
Codeforces,Codeforces Round 1083 (Div. 2),2026-02-26 20:05:00,FINISHED,150
Codeforces,Educational Codeforces Round 187 (Rated for Div. 2),2026-02-25 20:05:00,FINISHED,120
Codeforces,Codeforces Round 1082 (Div. 1),2026-02-23 20:05:00,FINISHED,150
Codeforces,Codeforces Round 1082 (Div. 2),2026-02-23 20:05:00,FINISHED,150
Codeforces,Codeforces Round 1081 (Div. 2),2026-02-21 20:05:00,FINISHED,120
Codeforces,Kotlin Heroes: Practice 14,2026-02-21 20:00:00,FINISHED,12960
Codeforces,Codeforces Round 1080 (Div. 3),2026-02-15 20:15:00,FINISHED,150
Codeforces,Codeforces Round 1079 (Div. 1),2026-02-11 20:05:00,FINISHED,180
Codeforces,Codeforces Round 1079 (Div. 2),2026-02-11 20:05:00,FINISHED,180
Codeforces,Codeforces Round 1078 (Div. 2),2026-02-08 14:35:00,FINISHED,120
Codeforces,Codeforces Round 1077 (Div. 1),2026-01-29 20:05:00,FINISHED,180
Codeforces,Codeforces Round 1077 (Div. 2),2026-01-29 20:05:00,FINISHED,180
Codeforces,Codeforces Round 1076 (Div. 3),2026-01-25 20:05:00,FINISHED,135
Codeforces,Codeforces Round 1075 (Div. 2),2026-01-23 20:05:00,FINISHED,120
Codeforces,Codeforces Round 1074 (Div. 4),2026-01-18 20:05:00,FINISHED,135
Codeforces,Codeforces Round 1073 (Div. 1),2026-01-17 20:05:00,FINISHED,180
Codeforces,Codeforces Round 1073 (Div. 2),2026-01-17 20:05:00,FINISHED,180
Codeforces,Codeforces Round 1072 (Div. 3),2026-01-12 20:05:00,FINISHED,135
Codeforces,Hello 2026,2026-01-07 20:05:00,FINISHED,180
Codeforces,Educational Codeforces Round 186 (Rated for Div. 2),2025-12-29 20:05:00,FINISHED,120
Codeforces,Good Bye 2025,2025-12-27 20:05:00,FINISHED,180
Codeforces,ICPC 2025 Online Winter Challenge powered by Huawei,2025-12-26 16:30:00,FINISHED,23040
Codeforces,Codeforces Round 1071 (Div. 3),2025-12-23 20:15:00,FINISHED,150
Codeforces,Codeforces Global Round 31 (Div. 1 + Div. 2),2025-12-19 20:05:00,FINISHED,150
Codeforces,"2025-2026 ICPC, NERC, Northern Eurasia Finals (Unrated, Online Mirror, ICPC Rules, Teams Preferred)",2025-12-17 13:35:00,FINISHED,300
Codeforces,Codeforces Round 1070 (Div. 2),2025-12-11 20:05:00,FINISHED,120
Codeforces,Codeforces Round 1069 (Div. 1),2025-12-06 13:45:00,FINISHED,120
Codeforces,Codeforces Round 1069 (Div. 2),2025-12-06 13:45:00,FINISHED,120
Codeforces,Codeforces Round 1068 (Div. 2),2025-12-05 20:05:00,FINISHED,120
Codeforces,Codeforces Round 1067 (Div. 2),2025-11-29 20:05:00,FINISHED,120
Codeforces,Educational Codeforces Round 185 (Rated for Div. 2),2025-11-28 20:05:00,FINISHED,120
Codeforces,Codeforces Round 1066 (Div. 1 + Div. 2),2025-11-23 15:05:00,FINISHED,180
Codeforces,Codeforces Round 1065 (Div. 3),2025-11-20 20:05:00,FINISHED,150
Codeforces,Codeforces Round 1064 (Div. 1),2025-11-16 20:05:00,FINISHED,120
Codeforces,Codeforces Round 1064 (Div. 2),2025-11-16 20:05:00,FINISHED,120
Codeforces,"2025 ICPC Asia Taichung Regional Contest (Unrated, Online Mirror, ICPC Rules, Preferably Teams)",2025-11-16 07:20:00,FINISHED,300
Codeforces,Educational Codeforces Round 184 (Rated for Div. 2),2025-11-14 20:05:00,FINISHED,120
Codeforces,Codeforces Round 1063 (Div. 2),2025-11-10 20:35:00,FINISHED,120
Codeforces,Codeforces Global Round 30 (Div. 1 + Div. 2),2025-11-06 20:05:00,FINISHED,180
Codeforces,"Testing Round 20 (Unrated, Communication Problems)",2025-11-03 20:05:00,FINISHED,60
Codeforces,Pinely Round 5 (Div. 1 + Div. 2),2025-10-30 22:05:00,FINISHED,180
Codeforces,Codeforces Round 1062 (Div. 4),2025-10-28 20:05:00,FINISHED,135
Codeforces,Codeforces Round 1061 (Div. 2),2025-10-24 20:05:00,FINISHED,120
Codeforces,Codeforces Round 1060 (Div. 2),2025-10-19 20:05:00,FINISHED,120
Codeforces,Codeforces Round 1059 (Div. 3),2025-10-17 20:05:00,FINISHED,135
Codeforces,Codeforces Round 1058 (Div. 1),2025-10-12 20:05:00,FINISHED,150
Codeforces,Codeforces Round 1058 (Div. 2),2025-10-12 20:05:00,FINISHED,150
Codeforces,Codeforces Round 1057 (Div. 2),2025-10-10 20:05:00,FINISHED,135
Codeforces,Educational Codeforces Round 183 (Rated for Div. 2),2025-10-06 20:05:00,FINISHED,120
Codeforces,Codeforces Round 1056 (Div. 2),2025-10-05 22:05:00,FINISHED,120
Codeforces,"Squarepoint Challenge (Codeforces Round 1055, Div. 1 + Div. 2)",2025-10-03 20:05:00,FINISHED,180
Codeforces,Codeforces Round 1054 (Div. 3),2025-09-25 20:05:00,FINISHED,135
Codeforces,Codeforces Round 1053 (Div. 1),2025-09-24 17:05:00,FINISHED,195
Codeforces,Codeforces Round 1053 (Div. 2),2025-09-24 17:05:00,FINISHED,195
Codeforces,Codeforces Round 1052 (Div. 2),2025-09-21 20:05:00,FINISHED,135
Codeforces,Codeforces Global Round 29 (Div. 1 + Div. 2),2025-09-20 20:05:00,FINISHED,180
Codeforces,Codeforces Round 1051 (Div. 2),2025-09-17 20:05:00,FINISHED,120
Codeforces,Educational Codeforces Round 182 (Rated for Div. 2),2025-09-15 20:05:00,FINISHED,120
Codeforces,Codeforces Round 1050 (Div. 4),2025-09-13 20:05:00,FINISHED,135
Codeforces,Kotlin Heroes: Episode 13,2025-09-12 20:05:00,FINISHED,150
Codeforces,Codeforces Round 1049 (Div. 2),2025-09-09 20:05:00,FINISHED,120
Codeforces,Codeforces Round 1048 (Div. 1),2025-09-08 20:05:00,FINISHED,180
Codeforces,Codeforces Round 1048 (Div. 2),2025-09-08 20:05:00,FINISHED,180
Codeforces,Codeforces Round 1047 (Div. 3),2025-09-07 20:05:00,FINISHED,135
Codeforces,Kotlin Heroes: Practice 13,2025-09-02 20:00:00,FINISHED,14400
Codeforces,Codeforces Round 1046 (Div. 1),2025-08-28 20:05:00,FINISHED,180
Codeforces,Codeforces Round 1046 (Div. 2),2025-08-28 20:05:00,FINISHED,180
Codeforces,Codeforces Round 1045 (Div. 2),2025-08-26 20:05:00,FINISHED,120
Codeforces,Codeforces Round 1044 (Div. 2),2025-08-24 20:05:00,FINISHED,120
Codeforces,Codeforces Round 1043 (Div. 3),2025-08-21 20:05:00,FINISHED,135
Codeforces,Codeforces Round 1042 (Div. 3),2025-08-10 20:05:00,FINISHED,135
Codeforces,"Atto Round 1 (Codeforces Round 1041, Div. 1 + Div. 2)",2025-08-07 20:05:00,FINISHED,180
Codeforces,Codeforces Round 1040 (Div. 1),2025-07-31 20:05:00,FINISHED,180
